Source	Data
N1559	24.2522
N1559	25.3639
N1559	24.5597
N1559	23.6663
N1559	24.5613
N1559	25.0794
N1559	22.6959
N1559	24.2788
N1559	24.1254
N1559	25.2812
N1559	24.5837
N1559	23.9101
N1559	24.4796
N1559	23.9346
N1559	23.6507
N1559	25.0453
N1559	25.1121
N1559	23.3886
N1559	24.484
N1559	23.6221
N1559	23.1312
N1559	24.2442
N1559	24.7081
N1559	24.4684
N1559	23.7327
N1559	24.9086
N1559	22.5738
N1559	23.1234
N1559	24.4851
N1559	23.5153
N1559	22.7653
N1559	24.2921
N1559	24.6227
N1559	23.5246
N1559	22.8122
N1559	23.5244
N1559	23.3228
N1559	25.5608
N1559	22.6373
N1559	24.0325
N1559	24.7421
N1559	22.4573
N1559	22.7838
N1559	22.4961
N1559	23.543
N1559	22.3379
N1559	24.1157
N1559	24.0304
N1559	24.299
N1559	23.5632
N1559	23.8478
N1559	25.1137
N1559	24.4411
N1559	25.4067
N1559	24.4439
N1559	24.2577
N1559	25.1329
N1559	24.9401
N1559	24.699
N1559	22.4511
N1559	23.1849
N1559	22.654
N1559	24.2632
N1559	24.5155
N1559	23.457
N1559	23.6495
N1559	24.4183
N1559	23.1641
N1559	25.6874
N1559	24.2485
N1559	23.1221
N1559	24.9272
N1559	23.5825
N1559	24.2961
N1559	24.4157
N1559	25.0017
N1559	24.3237
N1559	24.062
N1559	25.2877
N1559	23.4244
N2442	23.837
N2442	24.6384
N2442	23.9296
N2442	23.5755
N2442	24.8064
N2442	23.0454
N2442	24.0707
N2442	23.3833
N2442	24.2015
N2442	24.7258
N2442	23.5718
N2442	23.7705
N2442	24.5694
N2442	24.5226
N2442	24.3247
N2442	25.0109
N2442	23.2103
N2442	23.429
N2442	24.3581
N2442	24.5823
N2442	22.9492
N2442	23.6347
N2442	24.0858
N2442	23.8949
N2442	23.9663
N2442	24.0064
N2442	23.1396
N2442	23.5722
N2442	24.7098
N2442	24.29
N2442	23.2227
N2442	24.4465
N2442	23.5241
N2442	24.4235
N2442	24.2117
N2442	23.5717
N2442	24.1183
N2442	22.8394
N2442	24.2748
N2442	23.4321
N2442	23.6147
N2442	24.32
N2442	23.8922
N2442	23.4095
N2442	24.3543
N2442	23.3446
N2442	23.436
N2442	23.4763
N2442	23.3424
N2442	24.1565
N2442	24.1424
N2442	22.9834
N2442	24.0124
N2442	23.935
N2442	23.6041
N2442	23.9739
N2442	24.4982
N2442	23.3407
N2442	24.4846
N2442	23.8701
N2442	24.2827
N2442	24.0272
N2442	23.637
N2442	24.6518
N2442	23.7286
N2442	24.6185
N2442	24.3751
N2442	23.6669
N2442	24.05
N2442	23.7006
N2442	24.1867
N2442	23.8752
N2442	25.2241
N2442	22.3126
N2442	23.5679
N2442	23.4349
N2442	23.909
N2442	25.1883
N2442	23.9058
N2442	24.9943
N2442	23.5412
N2442	23.6508
N2442	24.2592
N2442	23.6158
N2442	23.6372
N2442	23.7527
N2442	23.3024
N2442	23.6344
N2442	23.6345
N2442	23.1304
N2442	23.5171
N2442	22.6951
N2442	24.0982
N2442	23.6231
N2442	23.5417
N2442	23.6194
N2442	23.5466
N2442	23.1728
N2442	23.0651
N2442	23.9847
N2442	24.3731
N2442	23.2765
N2442	24.4221
N2442	22.6254
N2442	23.0729
N2442	24.0957
N2442	24.4348
N2442	24.1167
N2442	24.2916
N2442	24.785
N2442	22.8671
N2442	22.4874
N2442	24.1519
N2442	22.5323
N2442	24.5426
N2442	24.0564
N2442	24.2383
N2442	24.0321
N2442	24.5376
N2442	22.6769
N2442	23.3836
N2442	23.9483
N2442	22.3924
N2442	23.4043
N2442	23.7045
N2442	24.3737
N2442	24.4319
N2442	24.895
N2442	24.0132
N2442	23.4396
N2442	24.0852
N2442	24.3379
N2442	24.1706
N2442	22.1291
N2442	23.7506
N2442	24.9232
N2442	24.5095
N2442	23.4081
N2442	24.071
N2442	24.8847
N2442	23.8745
N2442	23.5665
N2442	23.85
N2442	24.3803
N2442	23.9804
N2442	22.9593
N2442	23.6831
N2442	22.8748
N2442	23.3361
N2442	24.135
N2442	24.4193
N2442	22.5235
N2442	23.4887
N2442	23.8539
N2442	23.7066
N2442	23.6612
N2442	23.9652
N2442	23.6419
N2442	22.4821
N2442	23.3325
N2442	23.2576
N2442	25.1976
N2442	24.0642
N2442	25.2572
N2442	23.6808
N2442	25.5439
N2442	23.0485
N2442	22.3976
N2442	23.8389
N2442	23.8393
N2442	24.6233
N2442	23.9627
N2442	22.7284
N2442	24.6756
N2442	23.0243
N2442	23.0511
N2442	23.9049
N2525	23.6353
N2525	24.4043
N2525	24.3785
N2525	23.9429
N2525	24.2297
N2525	24.7965
N2525	23.4505
N2525	23.8021
N2525	24.2413
N2525	25.3009
N2525	23.7314
N2525	23.9818
N2525	24.4577
N2525	23.9418
N2525	24.3724
N2525	22.8526
N2525	23.9535
N2525	24.707
N2525	24.8463
N2525	24.8147
N2525	25.3216
N2525	22.4312
N2525	24.3964
N2525	24.8944
N2525	24.7898
N2525	23.96
N2525	23.9352
N2525	24.8446
N2525	23.976
N2525	24.2816
N2525	23.4082
N2525	23.5987
N2525	23.2214
N2525	22.7623
N2525	23.9758
N2525	23.7388
N2525	25.0072
N2525	24.2644
N2525	24.2451
N2525	24.1232
N2525	24.6715
N2525	24.499
N2525	23.8235
N2525	24.3555
N2525	25.2821
N2525	23.8668
N2525	24.1646
N2525	23.3904
N2525	24.5874
N2525	24.818
N2525	24.4292
N2525	24.5602
N2525	23.9829
N2525	24.0398
N2525	24.2603
N2525	25.0028
N2525	22.9818
N2525	24.317
N2525	25.1982
N2525	24.4838
N2525	23.1576
N2525	25.027
N2525	24.9049
N2525	25.4503
N2525	24.4331
N2525	24.5118
N2525	23.8122
N2525	25.1072
