Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
N3147      -5.78108   -5.61852   -5.20674  -14.83175  -14.35411  -14.12399   -54.33376   -54.05203   -53.61071    5.1
N3147      -5.10798   -5.04363   -4.89604  -14.97245  -14.70694  -13.92301   -54.38776   -54.13613   -53.41119   18.1
N3147      -4.29960   -4.27919   -4.22934  -15.03421  -14.90020  -14.10400   -54.35320   -54.01344   -53.55350   50.0
N3254      -8.80845   -8.56646   -8.56646  -15.73910  -15.37627  -15.37627   -55.26580   -55.14012   -55.14012    0.4
N3254      -7.70496   -7.46282   -7.46282  -15.78223  -15.37627  -15.37627   -55.25802   -55.14012   -55.14012    1.4
N3254      -6.30090   -6.25232   -6.17949  -15.46573  -15.32964  -15.27961   -55.27564   -55.15341   -55.15341    5.1
N3254      -4.90177   -4.80921   -4.78426  -14.83913  -14.74071  -14.68329   -55.29295   -55.06757   -54.95222   18.1
N3254      -4.14929   -4.08804   -4.07154  -14.51400  -14.45179  -14.40694   -55.09168   -54.90120   -54.86108   50.0
N3370      -8.48965   -8.38535   -8.38535  -15.39018  -15.38112  -15.23824   -55.32368   -55.19017   -55.19017    0.4
N3370      -7.40138   -7.28171   -7.28171  -15.41063  -15.41063  -15.23795   -55.32401   -55.24558   -55.20698    1.4
N3370      -6.02742   -5.95718   -5.90658  -15.28055  -15.22845  -15.15040   -55.28974   -55.19357   -55.12573    5.1
N3370      -4.62259   -4.53262   -4.46370  -14.60862  -14.51234  -14.40482   -54.95730   -54.95504   -54.91155   18.1
N3370      -4.08118   -4.04353   -4.01272  -14.42157  -14.34571  -14.33907   -54.87606   -54.83691   -54.82972   50.0
N3447      -8.17845   -8.15323   -8.11431  -14.88682  -14.87339  -14.82885   -54.75255   -54.59556   -54.55858    0.4
N3447      -6.96114   -6.91683   -6.82863  -14.88576  -14.86013  -14.81257   -54.71929   -54.52485   -54.51338    1.4
N3447      -5.76247   -5.73136   -5.67303  -14.87037  -14.85317  -14.80200   -54.68529   -54.53393   -54.49774    5.1
N3447      -4.56897   -4.52579   -4.43241  -14.50067  -14.42156  -14.32421   -54.60891   -54.44621   -54.42744   18.1
N3447      -4.08755   -4.02653   -4.00857  -14.37710  -14.34648  -14.25643   -54.56695   -54.43836   -54.40162   50.0
N3583      -8.94913   -8.74167   -8.74167  -16.32512  -16.32512  -15.72630   -55.72428   -55.52125   -55.43890    0.4
N3583      -7.84585   -7.63803   -7.63803  -16.29957  -15.78208  -15.72484   -55.72792   -55.50476   -55.43998    1.4
N3583      -6.48624   -6.39882   -6.33460  -15.91561  -15.65727  -15.63261   -55.63513   -55.42913   -55.33825    5.1
N3583      -5.20561   -5.16185   -5.11427  -15.39883  -15.38170  -15.27137   -55.37331   -55.27092   -55.24041   18.1
N3583      -4.26692   -4.22461   -4.18567  -14.78259  -14.72312  -14.63759   -55.19525   -55.11233   -55.09291   50.0
N3972      -7.57657   -7.34181   -7.14217  -15.15573  -15.07654  -14.94902   -54.11853   -53.95078   -53.78163    0.4
N3972      -6.79758   -6.68092   -6.57907  -15.14262  -15.06016  -14.90310   -54.10425   -53.91426   -53.74454    1.4
N3972      -5.71086   -5.64910   -5.55329  -14.96369  -14.88499  -14.81863   -54.11362   -53.95600   -53.74659    5.1
N3972      -4.76578   -4.73896   -4.67830  -14.90617  -14.82857  -14.77273   -54.08052   -53.93893   -53.77720   18.1
N3972      -4.19608   -4.16005   -4.12431  -14.70906  -14.60733  -14.52791   -54.09511   -53.99355   -53.75245   50.0
N3982      -8.26306   -8.24180   -8.06545  -15.21585  -14.99951  -14.99951   -55.03131   -54.74079   -54.70849    0.4
N3982      -7.02758   -6.94141   -6.89367  -15.22918  -15.20719  -15.08191   -55.06488   -54.75791   -54.69498    1.4
N3982      -5.78671   -5.71308   -5.61893  -15.05773  -14.98636  -14.91971   -54.97365   -54.70123   -54.65164    5.1
N3982      -4.78837   -4.74572   -4.69192  -14.84940  -14.77829  -14.72452   -54.86189   -54.63769   -54.60145   18.1
N3982      -4.19937   -4.16764   -4.12966  -14.62357  -14.53257  -14.47223   -54.81052   -54.61767   -54.56844   50.0
N4038      -8.51943   -8.40820   -8.27228  -15.39835  -15.36389  -15.20122   -55.40977   -55.34973   -54.94491    0.4
N4038      -7.35924   -7.30457   -7.17189  -15.45852  -15.36389  -15.03266   -55.34973   -55.34973   -54.94971    1.4
